                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.0275,                0.65382,                0.96295,                0.70727,                0.64628,                0.69821,                0.45183,                0.98113,                0.61999,                0.96964,               0.006535,               0.006535,               0.006535
                     37,                 1.0201,                0.65114,                0.96311,                0.66641,                0.68039,                0.70808,                 0.4585,                0.96625,                0.61575,                0.96067,               0.006436,               0.006436,               0.006436
                     38,                 1.0172,                0.64717,                0.95953,                0.72544,                0.66259,                 0.7136,                0.45782,                 0.9748,                0.60825,                0.96866,               0.006337,               0.006337,               0.006337
                     39,                 1.0139,                0.64242,                0.96139,                 0.7448,                0.66548,                0.71621,                0.46115,                0.96785,                0.60192,                0.96727,               0.006238,               0.006238,               0.006238
                     40,                 1.0088,                0.63754,                0.95795,                0.73819,                0.66905,                0.72329,                0.46313,                0.97715,                0.60518,                0.96485,               0.006139,               0.006139,               0.006139
                     41,                 1.0032,                0.63451,                0.95525,                0.75687,                0.64895,                0.71121,                0.46381,                0.96131,                0.59874,                0.95853,                0.00604,                0.00604,                0.00604
                     42,                 0.9933,                0.62653,                0.95313,                0.69127,                0.67461,                0.71764,                0.47064,                0.95413,                0.59966,                0.96115,               0.005941,               0.005941,               0.005941
                     43,                0.99962,                0.63044,                0.95549,                0.71357,                0.67449,                 0.7184,                  0.472,                0.95758,                0.59165,                 0.9615,               0.005842,               0.005842,               0.005842
                     44,                 0.9927,                0.62486,                0.95191,                 0.7922,                0.63873,                0.71737,                0.47035,                0.95715,                0.59407,                0.95958,               0.005743,               0.005743,               0.005743
                     45,                0.99215,                0.62498,                0.95154,                0.73606,                 0.6591,                0.71816,                0.46922,                0.94705,                0.58692,                0.95555,               0.005644,               0.005644,               0.005644
                     46,                  0.986,                0.62209,                0.94809,                0.75093,                0.66292,                0.72633,                0.47768,                0.93877,                0.58323,                0.95489,               0.005545,               0.005545,               0.005545
                     47,                0.98448,                 0.6196,                0.95038,                0.72163,                0.65911,                0.71992,                0.47547,                0.92371,                0.57676,                0.95031,               0.005446,               0.005446,               0.005446
                     48,                0.97399,                0.61331,                 0.9458,                0.69808,                0.68638,                0.72015,                0.47233,                0.92946,                0.58204,                 0.9526,               0.005347,               0.005347,               0.005347
                     49,                0.97092,                0.61063,                0.94564,                0.71813,                0.66937,                0.71904,                0.47462,                0.92345,                0.57148,                0.95327,               0.005248,               0.005248,               0.005248
